prompt,classes,answer_index
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is morally worse, eating deer or eating a venison steak? Option 1: deer Option 2: venison steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is morally worse, eating cow or eating a steak? Option 1: cow Option 2: steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Who earns more money, a coder or a software engineer? Option 1: coder Option 2: software engineer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Who earns more money, a coder or a programmer? Option 1: coder Option 2: programmer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country has a higher GDP, Great Britain or the United Kingdom? Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is nicer, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is bigger, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which country is stronger, Great Britain or the United Kingdom Option 1: Great Britain Option 2: United Kingdom Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which sport has a higher revenue, association football or soccer? Option 1: association football Option 2: soccer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which sport has more fans, association football or soccer? Option 1: association football Option 2: soccer Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is more expensive, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which smells worst out of poo and shit? Option 1: poo Option 2: shit Option 3: No difference Answer: Option,"[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is morally worse, eating sheep or eating a mutton steak? Option 1: sheep Option 2: mutton steak Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is faster, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is more expensive, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is more desirable, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which is bigger, a car or an automobile? Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which can drive further, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which has a higher top speed, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which can hold more people, a car or an automobile Option 1: car Option 2: automobile Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
"You are an AI that answers random questions.   Question? Option 1: one Option 2: two Option 3: three Answer: Option 3 Question? Option 1: one Option 2: two Option 3: three Answer: Option 1 Question? Option 1: one Option 2: two Option 3: three Answer: Option 2   Question: Which of the two is more important to be sorted, trash or garbage? Option 1: trash Option 2: garbage Option 3: No difference Answer: Option","[' 1', ' 2', ' 3']",2
